,38,40,42,44,46,48,50,52,54,56,58
Poitrine,800,850,900,950,1000,1050,1100,1150,1200,1250,1300
Ceinture,580,620,660,720,780,840,900,960,1020,1080,1140
Bassin,880,930,980,1030,1080,1120,1160,1200,1250,1300,1350
Longueur corsage devant,425,430,440,450,460,470,480,490,500,510,510
Longueur milieu dos,395,400,405,410,415,420,420,425,425,430,430
Longueur epaule,130,135,135,140,145,145,145,145,150,155,155
Carrure dos,350,360,370,380,390,400,405,410,420,430,430
Carrure devant,320,330,335,340,350,360,370,380,390,400,400
Hauteur des saillants de poitrine,200,195,195,190,185,175,175,175,170,170,170
Ecartement des saillants de poitrine,200,200,206,213,220,226,233,240,245,250,250
Profondeur encolure devant,76,78,81,85,89,92,94,96,98,100,100
Hauteur du sous bras,195,190,190,185,180,175,175,175,170,170,170
Hauteur du bassin,200,200,200,200,220,220,220,220,220,220,220
